OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITTYPE,UNITTYPE_DESC,ASSET_NAME,ASSET_ID,SUBAREA,MATERIAL,NAT_TOP_WATER_LEVEL,WATERBODY_TYPE,EASTING,NORTHING,SUB_CATCHMENT_NBR,DATE_OF_HANDOVER,MANAGEMENT_AGREEMENT,RAMSAR_CLASS,CONSERVATION_STATUS,DATE_OF_CONSTRUCTION,ASSET_OWNER,EPMS_SEC_NO,ASCONST_PLAN_NO,METHOD_OF_CAPTURE,SOURCE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS
1119927,293459,0,DUL648E,LAKE,LAKE,SANDHURST CLUB LAKE (PRIVATE),0709,0700,,,CONST,343658,5782741,0709,,,,,2005/01/01 00:00:00+00,PVT,0709/05,,ORTHOPHOTOS,GRAPHICS,2017/05/22 15:38:03+00,2020/06/15 14:02:51+00,IN,,,NO PLANS AVAILABLE
1119928,293006,0,DUL098B,LAKE,LAKE,WATERGARDENS LAKE,4250,4220,EARTH,,CONST,303637,5825556,4250,,,,,1998/12/07 00:00:00+00,MW,4250/10,4250/10/001,ORTHOPHOTOS,GRAPHICS,2004/03/09 00:00:00+00,2020/06/15 14:00:23+00,IN,,,
1119929,295392,0,DWL078,WETLND,WETLAND,KALPARRIN GARDENS WETLAND (COUNCIL),4619,4600,,,CONST,332274,5825989,4619,,,,,2013/01/01 00:00:00+00,CNL,4619/10,4619/10/007,ORTHOPHOTO,GRAPHICS,2018/06/19 00:00:00+00,2020/06/15 14:06:14+00,IN,,,COUNCIL MAINTAINED WETLAND
1119930,206865,10086246,DUL268,LAKE,LAKE,RUFFEY LAKE (COUNCIL),4773,4700,EARTH,52.00,CONST,335861.559,5817642.365,4770,,,,,1995/01/01 00:00:00+00,CNL,4770/11,4770/11/001,ORTHOPHOTO,GRAPHICS,2005/01/17 00:00:00+00,2020/06/15 14:07:52+00,IN,,,
1119931,206824,10255038,DUL543B,LAKE,LAKE,WILD DUCK LAKE (PRIVATE),6538,4420,,,CONST,322643.10,5859484.87,6534,,,,,1995/01/01 00:00:00+00,PVT,,,LIDAR CONTOURS,GRAPHICS,2012/11/15 00:00:00+00,2020/06/15 14:14:55+00,IN,,,HIDDDEN VALLEY GOLF COURSE
1119932,206823,10255037,DUL543A,LAKE,LAKE,LAKE MITTAGONG (PRIVATE),6534,4420,,,CONST,322627.75,5859153.16,6534,,,,,1995/01/01 00:00:00+00,PVT,,,LIDAR CONTOURS,GRAPHICS,2012/11/15 00:00:00+00,2020/06/15 14:14:59+00,IN,,,HIDDDEN VALLEY GOLF COURSE
1119933,206822,10255041,DUL543C,LAKE,LAKE,LAKE GRENFELL (PRIVATE),6534,4420,,,CONST,322282.45,5860437.47,,,,,,1995/01/01 00:00:00+00,PVT,,,LIDAR CONTOURS,GRAPHICS,2012/11/16 10:06:42+00,2020/06/15 14:15:02+00,IN,,,HIDDEN VALLEY GOLF COURSE
1119934,206919,10060080,DUL178,LAKE,LAKE,COOPER ST LAKE NO.3,4479,4420,EARTH,180.65,CONST,317094.127,5833860.146,4479,,Y,,,,MW,4479/11,4479/11/001,DIGITISED,DESIGN,2004/04/02 00:00:00+00,2020/06/15 14:33:55+00,IN,,,
1119935,206770,10145209,DUL422,LAKE,LAKE,LAKE (OWNER UNKNOWN),8823,8800,EARTH,,CONST,255874.878,5819705.317,8823,,,6,MWC not owned,,CNL,,,DIGITISED,DESIGN,2006/04/05 00:00:00+00,2020/06/15 14:33:58+00,IN,,,
1119936,209270,10056774,DST130D,SEDTRP,SEDIMENT TRAP,LAURIMAR PARK ESTATE SEDIMENT POND,6001,4600,EARTH,166,CONST,335238.024,5838369.886,6001,,,,,1999/10/07 00:00:00+00,MW,6001/04,6001/04/001,,GRAPHICS,,2021/06/21 15:13:44+00,IN,,,
1119937,209271,10056775,DST130E,SEDTRP,SEDIMENT TRAP,LAURIMAR PARK ESTATE SEDIMENT POND,6001,4600,EARTH,166,CONST,335183.711,5838346.307,6001,,,,,1999/10/07 00:00:00+00,MW,6001/04,6001/04/001,,GRAPHICS,,2021/06/21 15:13:47+00,IN,,,
1119938,209477,10062789,DST189,SEDTRP,SEDIMENT TRAP,CRANBOURNE CENTRAL SEDIMENT TRAP,0703,0700,,,CONST,349150.928,5783386.404,0703,,,,,1999/10/07 00:00:00+00,MW,0703/12,0703/12/001,,GRAPHICS,2001/07/04 00:00:00+00,2021/06/21 15:13:50+00,IN,,,
1119939,209312,10057910,DST134A,SEDTRP,SEDIMENT TRAP,LYNDHURST NORTH D.S. SEDIMENT POND,0705,0700,EARTH,,CONST,346096.81,5787325.827,0705,,,,,2000/06/07 00:00:00+00,MW,0705/11,0705/11/001,PLANS,GRAPHICS,2003/12/17 00:00:00+00,2021/06/21 15:07:57+00,IN,,,
1119940,209380,10058533,DST152,SEDTRP,SEDIMENT TRAP,UPPER BOGGY CREEK SEDIMENT POND,1203,1260,EARTH,64.48,CONST,341961.547,5774586.853,1203,,,,,1998/12/07 00:00:00+00,MW,1203/58,1203/58/001,DESIGN OFFSETS,DESIGN,2004/02/03 00:00:00+00,2021/06/21 15:08:16+00,IN,,,
1119941,209343,10064331,DST206,SEDTRP,SEDIMENT TRAP,AMBERLY PARK ESTATE SEDIMENT TRAP,0605,0600,,,CONST,350062.329,5787288.321,0622,,,,,2000/03/07 00:00:00+00,MW,0605/53,0605/53/001,,GRAPHICS,2000/07/18 00:00:00+00,2021/06/21 15:14:23+00,IN,,,
1119942,209224,10064566,DST207A,SEDTRP,SEDIMENT TRAP,KEYS MEADOW ESTATE SEDIMENT TRAP,0621,0600,,,CONST,349997.4,5789997.53,0621,,,,,2002/01/07 00:00:00+00,MW,0621/10,0621/10/001,ORTHOPHOTOS,GRAPHICS,2002/01/07 00:00:00+00,2021/06/21 14:57:43+00,IN,,,
1119943,209225,10064567,DST207B,SEDTRP,SEDIMENT TRAP,KEYS MEADOW ESTATE SEDIMENT TRAP,0621,0600,,,CONST,350026.201,5789994.959,0621,,,,,2002/01/07 00:00:00+00,MW,0621/10,0621/10/001,,GRAPHICS,2002/01/07 00:00:00+00,2021/06/21 15:14:25+00,IN,,,
1119944,209242,10066761,DST222,SEDTRP,SEDIMENT TRAP,CAMPBELLFIELD CREEK SEDIMENT POND,4461,4420,EARTH,,CONST,319653.3,5827331.731,4461,,,,,2001/07/07 00:00:00+00,MW,4461/14,4461/14/001,,GRAPHICS,2005/03/24 00:00:00+00,2021/06/21 15:14:28+00,IN,,,
1119945,209209,10081192,DST174A,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329502.466,5833980.962,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:31+00,IN,,,
1119946,209210,10081193,DST174B,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329537.702,5834163.528,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:34+00,IN,,,
1119947,209211,10081194,DST174C,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329557.593,5834232.448,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:36+00,IN,,,
1119948,209212,10081195,DST174D,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329549.954,5834299.807,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:39+00,IN,,,
1119949,209213,10081196,DST174E,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329585.366,5834388.49,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:42+00,IN,,,
1119950,209214,10081197,DST174F,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329619.076,5834447.032,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:44+00,IN,,,
1119951,209215,10081198,DST174G,SEDTRP,SEDIMENT TRAP,UPPER HENDERSONS CREEK SEDIMENT POND,4532,4510,EARTH,,CONST,329623.61,5834569.04,4532,,Y,,,2002/07/07 00:00:00+00,MW,4532/11,4532/11/001,,GRAPHICS,2003/02/14 00:00:00+00,2021/06/21 15:14:47+00,IN,,,
1119952,209478,10062790,DST190,SEDTRP,SEDIMENT TRAP,LYNDHURST SOUTH SEDIMENT TRAP,0704,0700,,,CONST,347681.084,5784872.085,0704,,,,,1987/03/07 00:00:00+00,MW,0704/12,0704/12/001,,GRAPHICS,2002/04/26 00:00:00+00,2021/06/21 15:14:50+00,IN,,,
1119953,209297,10059023,DST177,SEDTRP,SEDIMENT TRAP,LYNDHURST NORTH D.S. SEDIMENT POND,0705,0700,,,CONST,345711.952,5788080.01,0705,,,,,2002/05/07 00:00:00+00,MW,0705/04,0705/04/001,,GRAPHICS,2003/03/28 00:00:00+00,2021/06/21 15:14:53+00,IN,,,
1119954,203115,10252191,DBS540,BIORET,BIO-RETENTION SYSTEM,EDITHVALE DISCOVERY CENTRE RAINGARDEN,1123,1100,,,CONST,335631.944,5789057.407,1123,,,,,2011/11/01 00:00:00+00,MW,1123/12,1123/12/001,DIGITAL DATA,AS CONSTRUCTED,2012/08/02 11:27:49+00,2021/06/24 13:13:29+00,WIP,,,
1119955,203159,10267548,DBS567D,BIORET,BIO-RETENTION SYSTEM,GUM SCRUB CREEK (LOWER) BIORETENTION NO.2,1402,1400,,,CONST,361193.76,5785259.82,1402,2016/02/27 00:00:00+00,Y,,,2013/07/01 00:00:00+00,MW,1402/05,1402/05/001,DIGITAL DATA,AS CONSTRUCTED,2013/08/26 10:58:07+00,2021/06/24 13:13:32+00,IN,2021/05/05 00:00:00+00,,
1119956,208962,10285276,DST161D,SEDTRP,SEDIMENT TRAP,EVANS ROAD R/B SEDIMENT POND,0701,0700,EARTH,,CONST,346832.44,5782746.57,0701,,,,,2013/09/20 00:00:00+00,MW,0701/42,0701/42/001,DIGITAL DATA,AS CONSTRUCTED,2014/05/29 00:00:00+00,2021/06/24 13:13:33+00,IN,,,
1119957,209076,10307097,DST600A,SEDTRP,SEDIMENT TRAP,GERA ESTATE TI-TREE CK SEDIMENT POND,0619,0600,ROCKS,19.75,CONST,353417.466,5785603.903,0619,2015/04/02 00:00:00+00,Y,,,2014/01/31 00:00:00+00,MW,0619/51,0619/51/001,DIGITAL DATA,AS CONSTRUCTED,2014/09/24 00:00:00+00,2021/06/24 13:13:34+00,IN,,,
1119958,1021389,0,DWL686,WETLND,WETLAND,SALTWATER COAST WETLAND NO.3,4046,4070,,1.46,CONST,304450,5802140,4046,,,,,2018/12/01 00:00:00+00,PVT,4046/02,4046/02/002,DIGITAL DATA,AS CONSTRUCTED,2019/01/22 09:42:59+00,2021/06/24 13:13:40+00,WIP,,,
1119959,1021391,0,DST686B,SEDTRP,SEDIMENT TRAP,SALTWATER COAST WETLAND NO.3 SEDIMENT POND,4046,4070,,1.49,CONST,304439,5802038,4046,,,,,2018/12/01 00:00:00+00,PVT,4046/02,4046/02/002,DIGITAL DATA,AS CONSTRUCTED,2019/01/22 09:43:03+00,2021/06/24 13:13:40+00,WIP,,,
1119960,209200,10086070,DST161,SEDTRP,SEDIMENT TRAP,EVANS ROAD R/B SEDIMENT POND,0701,0700,EARTH,23.8,CONST,347024.359,5782787.646,0701,,,,,2003/11/07 00:00:00+00,MW,0701/42,SES_1715,DIGITAL DATA,AS CONSTRUCTED,2006/04/11 00:00:00+00,2021/06/24 13:13:40+00,IN,,,
1119961,211037,10082774,DWL257A,WETLND,WETLAND,SEASONS ESTATE WETLAND & FLOODWAY,4079,4070,EARTH,27.800,CONST,297609.31,5808918.637,4079,,Y,,,2004/01/22 00:00:00+00,MW,4079/01,4079/01/001,DIGITISED,AS CONSTRUCTED,2005/11/30 00:00:00+00,2021/06/24 13:12:30+00,IN,,,
1119962,211364,10144173,DWL407B,WETLND,WETLAND,CENTENNIAL PARK WETLANDS,4490,4420,EARTH,215.00,CONST,316191.382,5838285.835,4490,,,,,2006/11/01 00:00:00+00,MW,4490/03,4490/03/001,DIGITAL DATA,AS CONSTRUCTED,2009/06/17 00:00:00+00,2021/06/24 13:12:30+00,IN,,,
1119963,209036,10238193,DST500A,SEDTRP,SEDIMENT TRAP,CAROLINE SPRINGS WETLAND NO.3 SEDIMENT POND,4141,4110,,96.00,CONST,300238.308,5823383.396,4141,,Y,,,2011/08/07 00:00:00+00,MW,4141/33,4141/33/001,DIGITAL DATA,AS CONSTRUCTED,2011/12/13 10:44:46+00,2021/06/24 13:12:33+00,IN,,,
1119964,203163,10243700,DBS522,BIORET,BIO-RETENTION SYSTEM,SALTWATER COAST WETLAND NO.1 BIORETENTION,4046,8000,,,CONST,304549.72,5801046.17,4046,,,,,2010/10/01 00:00:00+00,MW,4046/01,4046/01/001,DIGITAL DATA,AS CONSTRUCTED,2011/12/22 08:14:43+00,2021/06/24 13:12:33+00,WIP,,,
